PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
,SOCIAL CONSEQUENCES,"Create social consequences for engaging in the undesirable behavior, such as friends feeling disappointed.",2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"social, consequences, societal, influence, desires, ramifications, implications, behaviors, influences, motivations",213
,ANTICIPATED REGRET,"Have the user think about the regret they will feel if they engage in the undesirable behavior, for instance by having them imagine that feeling of regret.",2. Desires,NEGATIVE EMOTIONS,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,in use,"regret, feelings, emotions, disappointment, desires, emotion, desire, anger, anxiety, frustration",214
,FEEDBACK ON BEHAVIOR,"Give the user regular feedback on how they are doing at engaging in the desired behavior or avoiding the undesired behavior (e.g., are they doing a great job, a good job, a satisfactory job, etc.).",10. Maintains,FEEDBACK,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"feedback, input, responses, reviews, reactions, response, suggestions, interaction, critiques, reaction",215
,SELF-MONITORING OUTCOME,Get the user to notice the problematic outcomes of their current undesirable behavior.,2. Desires,LOGIC,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"logic, outcome, desires, reasoning, motivations, motives, syllogism, rational, rationale, viewpoint",216
,IMPLEMENTATION INTENTIONS,"An ""if-then plan"" that can lead to better goal attainment, as well as help in habit and behavior modification. It is subordinate to goal intentions as it specifies the when, where, and how portions of goal-directed behavior. IF {situation}, THEN I will {behavior}. When people know in advance how, when, and where they will do something, they are more likely to do it.",6. Chooses,FRICTION REDUCING,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,in use,"intentions, friction, chooses, reducing, disagreement, implementation, implementing, willingness, desire, intention",217
,MENTAL CONTRASTING,"Apply the ""mental contrasting"" technique, which involves focusing on positive aspects of a goal, and the barriers standing in the way of achieving that goal:

1a) Write down or think about several positive aspects associated with completing your goal. For example, if you’re trying to lose weight, those positive aspects could be: looking good, living longer, spending less on healthcare, feeling more lively, being able to stay active, getting your spouse to stop nagging you, etc…
1b) Hone in the most positive aspects. This could be one especially large benefit or a few smaller ones. Then take a few moments to visualize those benefits. The longer and the more detail, the better.
2a) Write down or think about several obstacles in the way of you completing your goal. For example, if you’re trying to lose weight, those obstacles could be: being tempted by snacks, purchasing unhealthy food while shopping, eating too much at dinner, emotional binging, lack of motivation to exercise, etc…
2b) Home in the largest obstacles. This could be one especially large obstacle or a few smaller ones. Then take a few moments to visualize those obstacles. The longer and the more detail, the better.",10. Maintains,MINDSET,0. No edits needed,,,,,,,,https://www.happierhuman.com/mental-contrasting/,,,in use,"mindset, mentality, attitude, mental, mentally, attitudes, philosophies, perception, philosophy, perceptions",218
,COPING PLANNING,Plan out a strategy of what the user can do to cope when a bad situation occurs.,,,5. To be deleted,,Very similar to the other coping & recovery strategies,,,,,"The Behavior Change Technique Taxonomy (v1)
of 93 Hierarchically Clustered Techniques:",,,,in use,,219
,BEHAVIORAL CONTRACT,Have the user sign (or write and then sign) a contract saying they promise to do their best to change behaviors in a specific way. This contract may be made public or just for the person to keep.,3. Intends,COMMITMENT,2. Edited,,Merged with #257 and #421,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,in use,"commitment, contract, commitments, intends, willingness, agreement, pledge, contractual, desire, contracts",220
,GOAL SETTING,"Have the user set a specific, measurable, agreed-upon, realistic, time-based (i.e. SMART) goal for themselves.",3. Intends,PLANNING,0. No edits needed,,,,,,,,https://www.projectsmart.co.uk/smart-goals.php,,,in use,"planning, plans, intends, planned, intend, aiming, preparing, aims, plan, wants",221
,BEHAVIORAL GOALS REVIEW,Regularly review with the user the behavioral goals they have set for themselves.,10. Maintains,PURPOSE,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,in use,"purpose, goals, objective, maintains, objectives, goal, needs, purposes, behaviors, educational",222
,OUTCOME GOALS REVIEW,Regularly review with the user or remind them of the outcomes and benefits they hope to achieve by changing their behavior.,10. Maintains,PURPOSE,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,in use,"purpose, objective, objectives, goal, goals, outcome, maintains, purposes, aim, rationale",223
,SOCIAL SUPPORT,"Arrange for the user to have a ""coach"" (e.g., a friend, family member, professional counselor, etc.) who can help them when they are having trouble with their behavior change, need advice or support, or need someone to help them handle or understand their emotions.",10. Maintains,SUPPORT NETWORK,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"maintains, support, social, supports, network, maintain, supporting, maintained, promotes, maintaining",224
,MODELING BEHAVIOR,Have someone demonstrate the desirable behavior in real life that the user can watch and then later emulate.,9. Embodies,MODELING,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"modeling, model, models, modeled, variational, modeler, simulation, designing, design, visualization",225
,INFORMATION ABOUT APPROVAL,Let the person know about the social approval or disapproval that others they care about have about their desirable or undesirable behaviors.,2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"desires, influence, approval, preferences, desire, social, consent, influences, acceptance, perceptions",226
,MENTAL REHEARSAL,"Have the user review mentally over and over the steps for performing the desirable behavior, in the imagined situations in which they should engage with it.",7. Knows,PRACTICE,2. Edited,,"Before: Have the user review mentally over and over the desirable behavior they are going to engage in, in the imagined situations in which they should engage with it.",,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"practice, practicing, mental, practiced, drills, mentally, routines, zazen, conditioning, training",227
,THOUGHT DISCOVERY,"Have the user pay very close attention to the thoughts and feelings that run through their mind / body moments before the undesirable behavior occurs, as a way of understanding what is happening that causes the behavior, and then have the user learn a response (of what to think or do) when those triggers thoughts or feelings occur to interrupt the process that has been happening at those moments.",6. Chooses,EMOTIONAL STATE,0. No edits needed,,,,,,,,,,,no,"discovery, emotional, chooses, learns, happens, discoveries, decides, discover, finds, discovering",228
,FOCUS ON PAST SUCCESS,"Have the user consider times when they succeeded at similar goals in the past, and what they did to achieve those goals successfully.",,,5. To be deleted,,Same as #20: PAST HABITS,,,,,"The Behavior Change Technique Taxonomy (v1)
of 93 Hierarchically Clustered Techniques:",,,,no,,229
,VERBAL PERSUASION,"Have a verbally persuasive person (e.g., who is high status, believed to be an authority, speaks confidently, is likable, etc.) ask the person to change their behavior.",2. Desires,CHARISMA,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"intellect, personality, charismatic, charm, instincts, humility, qualities, persuasive, wit, ego",230
,PERSUASIVE ARGUMENT,"Give the user a persuasive argument of why they should change their behavior, incorporating (for instance) compelling stories, scientific results, and strong emotional and logical arguments.",2. Desires,LOGIC,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"persuasive, logic, reasoning, argument, rational, cogent, arguments, compelling, syllogism, rationale",231
